Original Header:

Name: AdcIn_Ch5
This is using channel 5 on the onboard ADC.
The first value is a voltage in mV, and the second value is a time in seconds from epoch.
!@#

CSV Header:

The voltages are now in volts.
The time is in seconds, subtracting off the startTime.
!@#
0.053, 0.000000
0.068, 0.010315
0.070, 0.026551
0.065, 0.043183
0.068, 0.059754
0.065, 0.076325
0.080, 0.093232
0.070, 0.109620
0.080, 0.126465
0.070, 0.143189
0.070, 0.159699
0.061, 0.244996
0.058, 0.246674
0.063, 0.248230
0.063, 0.249787
0.068, 0.251343
0.056, 0.260834
0.065, 0.276337
0.063, 0.293183
0.063, 0.309723
0.053, 0.331147
0.068, 0.343171
0.061, 0.359559
0.073, 0.376404
0.065, 0.393128
0.051, 0.409760
0.065, 0.426423
0.068, 0.443543
0.075, 0.459687
0.070, 0.476471
0.068, 0.493195
0.068, 0.509705
0.061, 0.526307
0.073, 0.543213
0.063, 0.559571
0.073, 0.576447
0.063, 0.593262
0.073, 0.609772
0.070, 0.626282
0.070, 0.643158
0.073, 0.659577
0.063, 0.676423
0.070, 0.693085
0.061, 0.709687
0.058, 0.726410
0.065, 0.743226
0.070, 0.759674
0.073, 0.776246
0.068, 0.793152
0.075, 0.809815
0.065, 0.826355
0.078, 0.843323
0.068, 0.859620
0.065, 0.876252
0.068, 0.893189
0.063, 0.909790
0.056, 0.926300
0.063, 0.943177
0.065, 0.959412
0.048, 0.976380
0.063, 0.993317
0.073, 1.009797
0.068, 1.026337
0.043, 1.043305
0.065, 1.059601
0.061, 1.076264
0.068, 1.093232
0.068, 1.109681
0.056, 1.126435
0.068, 1.143372
0.070, 1.159668
0.056, 1.176575
0.061, 1.193299
0.068, 1.209656
0.080, 1.226380
0.046, 1.243470
0.075, 1.259613
0.070, 1.276246
0.075, 1.293122
0.070, 1.309479
0.083, 1.326447
0.075, 1.343140
0.065, 1.359772
0.056, 1.376374
0.063, 1.393219
0.046, 1.409821
0.063, 1.426453
0.073, 1.443726
0.075, 1.459595
0.068, 1.476380
0.078, 1.493226
0.063, 1.509644
0.063, 1.526276
0.070, 1.543305
0.065, 1.559449
0.073, 1.576508
0.070, 1.593293
0.075, 1.609833
0.063, 1.626252
0.068, 1.643250
0.065, 1.659577
0.065, 1.676331
0.073, 1.693299
0.068, 1.709656
0.080, 1.726410
0.078, 1.743134
0.070, 1.759766
0.073, 1.776337
0.061, 1.793213
0.075, 1.809571
0.070, 1.826325
0.073, 1.843171
0.070, 1.859650
0.063, 1.876221
0.075, 1.893097
0.061, 1.909790
0.075, 1.926392
0.073, 1.943360
0.063, 1.959809
0.080, 1.976319
0.070, 1.993195
0.068, 2.009522
0.063, 2.026246
0.063, 2.043244
0.085, 2.059662
0.070, 2.076386
0.075, 2.093201
0.065, 2.109650
0.058, 2.126496
0.070, 2.143311
0.070, 2.159668
0.070, 2.176423
0.065, 2.193299
0.068, 2.209687
0.087, 2.226349
0.075, 2.243287
0.068, 2.259705
0.068, 2.276429
0.070, 2.293122
0.061, 2.309754
0.085, 2.326477
0.075, 2.343201
0.065, 2.359742
0.075, 2.376557
0.065, 2.393219
0.075, 2.409790
0.078, 2.426209
0.083, 2.443451
0.073, 2.459717
