Original Header:


CSV Header:

The voltages are now in volts.
The time is in seconds, subtracting off the startTime.
!@#
0.058, 0.000000
0.063, 0.002014
0.068, 0.003693
0.068, 0.005554
0.065, 0.007172
0.065, 0.008698
0.068, 0.010224
0.068, 0.014252
0.068, 0.016937
0.070, 0.019318
0.080, 0.022308
0.065, 0.024933
0.056, 0.027344
0.051, 0.030426
0.078, 0.033081
0.075, 0.036194
0.065, 0.037872
0.070, 0.039429
0.065, 0.040985
0.068, 0.042511
0.068, 0.044006
0.063, 0.045838
0.068, 0.047424
0.063, 0.048950
0.065, 0.050476
0.058, 0.054077
0.070, 0.056671
0.048, 0.059052
0.075, 0.062042
0.053, 0.064423
0.053, 0.067047
0.065, 0.070099
0.043, 0.073212
0.073, 0.076080
0.068, 0.077728
0.058, 0.079315
0.061, 0.080841
0.065, 0.082398
0.061, 0.083923
0.065, 0.085693
0.065, 0.087219
0.070, 0.088745
0.070, 0.090271
0.063, 0.093628
0.075, 0.096283
0.073, 0.098816
0.075, 0.101624
0.051, 0.104035
0.078, 0.106659
0.061, 0.109558
0.070, 0.112457
0.078, 0.115540
0.056, 0.118683
0.061, 0.120331
0.073, 0.121918
0.070, 0.123444
0.068, 0.125214
0.068, 0.126770
0.070, 0.128327
0.065, 0.129852
0.061, 0.132050
0.043, 0.135162
0.078, 0.137543
0.075, 0.139923
0.058, 0.142883
0.087, 0.145416
0.051, 0.147736
0.056, 0.151734
0.068, 0.154968
0.068, 0.156647
0.070, 0.158264
0.070, 0.159821
0.063, 0.161347
0.063, 0.162903
0.068, 0.164398
0.061, 0.166168
0.065, 0.167725
0.063, 0.169251
0.061, 0.172119
0.068, 0.175293
0.053, 0.177735
0.053, 0.180115
0.041, 0.183014
0.083, 0.185578
0.078, 0.187927
0.083, 0.191406
0.073, 0.195068
0.065, 0.196777
0.070, 0.198395
0.065, 0.199951
0.063, 0.201477
0.070, 0.202973
0.063, 0.204498
0.065, 0.206299
0.063, 0.207855
0.068, 0.209381
0.058, 0.212128
0.075, 0.215241
0.053, 0.218231
0.053, 0.220032
0.048, 0.222992
0.087, 0.225556
0.078, 0.227844
0.058, 0.231384
0.073, 0.234985
0.063, 0.236725
0.065, 0.238312
0.065, 0.239868
0.073, 0.242737
0.063, 0.244385
0.063, 0.246216
0.070, 0.247803
0.070, 0.249329
0.070, 0.252228
0.053, 0.256012
0.063, 0.258515
0.063, 0.261383
0.058, 0.263794
0.083, 0.266480
0.078, 0.269623
0.070, 0.272278
0.078, 0.275391
0.068, 0.277039
0.063, 0.278687
0.065, 0.280274
0.061, 0.281799
0.065, 0.283325
0.058, 0.285095
0.063, 0.286652
0.070, 0.288178
0.063, 0.289734
0.068, 0.291931
0.048, 0.295075
0.048, 0.297485
0.051, 0.299774
0.073, 0.302765
0.085, 0.305329
0.070, 0.307648
0.046, 0.311615
0.075, 0.316132
0.063, 0.318878
0.068, 0.320526
0.068, 0.322083
0.070, 0.323639
0.065, 0.325379
0.061, 0.326965
0.058, 0.328491
0.058, 0.330017
0.061, 0.333923
0.041, 0.336548
0.046, 0.338898
0.051, 0.341889
0.058, 0.344147
0.051, 0.346832
0.056, 0.349945
0.075, 0.352631
0.075, 0.355713
0.068, 0.357361
0.065, 0.358948
0.061, 0.360504
0.061, 0.362030
0.058, 0.363556
0.070, 0.365296
0.068, 0.368286
0.068, 0.369904
0.068, 0.372040
0.073, 0.375488
0.053, 0.377930
0.053, 0.380310
0.046, 0.383301
0.070, 0.385895
0.053, 0.388214
0.070, 0.392151
0.075, 0.395386
0.065, 0.397064
0.061, 0.398651
0.061, 0.400208
0.065, 0.401703
0.063, 0.403229
0.068, 0.404968
0.063, 0.406586
0.068, 0.408112
0.063, 0.409638
0.068, 0.413574
0.075, 0.416229
0.075, 0.418610
0.078, 0.420441
0.053, 0.423340
0.048, 0.429199
0.061, 0.442566
0.046, 0.446991
0.068, 0.448883
0.063, 0.450684
0.063, 0.452423
0.065, 0.454071
0.068, 0.456024
0.063, 0.457733
0.063, 0.459442
0.065, 0.461121
0.070, 0.462769
0.065, 0.464356
0.070, 0.466095
0.063, 0.468414
0.058, 0.470184
0.063, 0.471924
0.065, 0.473602
0.063, 0.475495
0.070, 0.477142
0.065, 0.478729
0.065, 0.480347
0.063, 0.482056
0.063, 0.483734
0.063, 0.488007
0.065, 0.493286
0.065, 0.497376
0.051, 0.500061
0.053, 0.505524
0.053, 0.507965
0.075, 0.511048
0.080, 0.514160
0.051, 0.518402
0.070, 0.520752
0.051, 0.523102
0.065, 0.526306
0.070, 0.528717
0.053, 0.531098
0.048, 0.534149
0.073, 0.537079
0.065, 0.541565
0.051, 0.545319
0.051, 0.548096
0.073, 0.550476
0.053, 0.552796
0.053, 0.555969
0.063, 0.558319
0.075, 0.560669
0.073, 0.564209
0.070, 0.567871
0.065, 0.569550
0.073, 0.573425
0.063, 0.576233
0.075, 0.578491
0.058, 0.581574
0.056, 0.583923
0.043, 0.586701
0.078, 0.589752
0.087, 0.593231
0.073, 0.597870
0.070, 0.599579
0.063, 0.601166
0.068, 0.602722
0.061, 0.604248
0.070, 0.605988
0.068, 0.607544
0.065, 0.609070
0.065, 0.610626
0.068, 0.613922
0.068, 0.618012
0.053, 0.620423
0.085, 0.623474
0.065, 0.626129
0.083, 0.628479
0.070, 0.631531
0.068, 0.634216
0.075, 0.637299
0.065, 0.638947
0.058, 0.640503
0.063, 0.642029
0.061, 0.643555
0.070, 0.645294
0.070, 0.646881
0.061, 0.648407
0.065, 0.649933
0.058, 0.652161
0.075, 0.655274
0.078, 0.657684
0.056, 0.660004
0.048, 0.662995
0.073, 0.665466
0.068, 0.667816
0.083, 0.671692
0.068, 0.674927
0.068, 0.676605
0.065, 0.678192
0.063, 0.679749
0.063, 0.681275
0.070, 0.682800
0.061, 0.684387
0.068, 0.686188
0.073, 0.687775
0.063, 0.689331
0.061, 0.690857
0.061, 0.694275
0.051, 0.696900
0.058, 0.699249
0.080, 0.702210
0.051, 0.704559
0.078, 0.707184
0.090, 0.711029
0.075, 0.714478
0.070, 0.716431
0.061, 0.718018
0.070, 0.719574
0.063, 0.721100
0.063, 0.722626
0.063, 0.724152
0.065, 0.725952
0.065, 0.727509
0.065, 0.729065
0.065, 0.730560
0.061, 0.734039
0.068, 0.736694
0.073, 0.738953
0.068, 0.743500
0.085, 0.746185
0.083, 0.748596
0.051, 0.751679
0.073, 0.755768
0.068, 0.757507
0.063, 0.759094
0.065, 0.760651
0.068, 0.762177
0.061, 0.763703
0.061, 0.765442
0.061, 0.766998
0.058, 0.768524
0.061, 0.770081
0.073, 0.773956
0.073, 0.776550
0.087, 0.778931
0.075, 0.781922
0.083, 0.784332
