voltage_1, voltage_2, voltage_3, time
3.949, 0.469, 0.042, 1468260497.120513
3.949, 0.149, 0.159, 1468260497.158111
3.949, 0.130, 4.055, 1468260497.198120
3.949, 4.070, 0.158, 1468260497.238128
3.949, 0.018, 0.195, 1468260497.278381
3.949, 0.032, 0.079, 1468260497.318298
3.949, 4.053, 0.282, 1468260497.358398
3.949, 0.042, 0.060, 1468260497.398376
3.949, 4.075, 0.280, 1468260497.438537
3.949, 0.029, 0.289, 1468260497.477966
3.949, 0.061, 0.117, 1468260497.517791
3.949, 4.084, 0.350, 1468260497.558746
3.949, 0.038, 0.128, 1468260497.597961
3.949, 4.090, 0.312, 1468260497.637878
3.949, 0.031, 0.335, 1468260497.679260
3.949, 0.038, 0.181, 1468260497.718078
3.949, 0.002, 0.391, 1468260497.758300
3.949, 0.089, 0.153, 1468260497.798217
3.949, 0.064, 0.336, 1468260497.838317
3.949, 0.094, 0.347, 1468260497.878021
3.949, 0.079, 0.237, 1468260497.918762
3.949, 0.007, 0.385, 1468260497.958282
3.949, 0.071, 0.149, 1468260497.998168
3.949, 0.011, 0.342, 1468260498.038238
3.949, 0.073, 0.152, 1468260498.081604
3.950, 4.090, 0.344, 1468260498.120941
3.950, 0.022, 0.419, 1468260498.158111
3.950, 0.085, 0.186, 1468260498.198120
3.950, 0.078, 0.409, 1468260498.242309
3.950, 0.071, 0.364, 1468260498.278686
3.950, 0.093, 0.193, 1468260498.317901
3.950, 4.082, 0.409, 1468260498.358978
3.950, 0.027, 0.172, 1468260498.398437
3.950, 4.092, 0.383, 1468260498.438751
3.950, 0.015, 0.352, 1468260498.477966
3.950, 0.038, 0.208, 1468260498.518218
3.950, 0.009, 0.412, 1468260498.559082
3.950, 0.068, 0.149, 1468260498.598297
3.950, 0.002, 0.337, 1468260498.638092
3.950, 0.025, 0.325, 1468260498.679748
3.950, 0.010, 0.152, 1468260498.717590
3.950, 4.061, 0.367, 1468260498.758697
3.950, 0.000, 0.148, 1468260498.798095
3.950, 4.077, 0.352, 1468260498.838684
3.950, 4.082, 0.344, 1468260498.878204
3.950, 0.010, 0.212, 1468260498.918334
3.950, 4.066, 0.389, 1468260498.959014
3.950, 0.036, 0.145, 1468260498.998596
3.950, 4.054, 0.312, 1468260499.037719
3.950, 4.090, 0.136, 1468260499.081634
3.949, 4.035, 0.345, 1468260499.121459
3.949, 4.034, 0.413, 1468260499.158355
3.949, 0.028, 0.182, 1468260499.199127
3.949, 4.089, 0.351, 1468260499.238372
