ir, red, temperature, time
11100, 12168, 22.8, 1468260497.086334
11076, 12140, 22.8, 1468260497.122467
11076, 12132, 22.8, 1468260497.160339
11080, 12164, 22.8, 1468260497.200347
11040, 12132, 22.8, 1468260497.240325
11096, 12144, 22.8, 1468260497.280426
11076, 12148, 22.8, 1468260497.320404
11052, 12128, 22.8, 1468260497.360351
11092, 12144, 22.8, 1468260497.400451
11076, 12136, 22.8, 1468260497.440338
11056, 12116, 22.8, 1468260497.480773
11068, 12140, 22.8, 1468260497.520355
11064, 12120, 22.8, 1468260497.560546
11068, 12128, 22.8, 1468260497.600402
11028, 12104, 22.8, 1468260497.640350
4, 0, 22.8, 1468260497.681030
7328, 8264, 22.8, 1468260497.720397
7312, 8256, 22.8, 1468260497.760406
7316, 8256, 22.8, 1468260497.800384
7332, 8260, 22.8, 1468260497.840362
7324, 8268, 22.8, 1468260497.880401
7320, 8252, 22.8, 1468260497.920654
7348, 8288, 22.8, 1468260497.960388
7312, 8268, 22.8, 1468260498.000396
7304, 8252, 22.8, 1468260498.040405
7324, 8280, 26.5, 1468260498.088623
7336, 8272, 26.5, 1468260498.122802
7304, 8252, 26.5, 1468260498.160369
7320, 8260, 26.5, 1468260498.200378
7328, 8276, 26.5, 1468260498.244079
7328, 8280, 26.5, 1468260498.280456
7316, 8252, 26.5, 1468260498.320678
7320, 8268, 26.5, 1468260498.360717
7328, 8280, 26.5, 1468260498.400543
7300, 8264, 26.5, 1468260498.440521
7300, 8268, 26.5, 1468260498.481414
7316, 8272, 26.5, 1468260498.520416
7332, 8280, 26.5, 1468260498.560791
7308, 8256, 26.5, 1468260498.600708
7324, 8260, 26.5, 1468260498.640319
7332, 8268, 26.5, 1468260498.681549
7296, 8256, 26.5, 1468260498.720611
7300, 8256, 26.5, 1468260498.760467
7328, 8268, 26.5, 1468260498.800354
7324, 8256, 26.5, 1468260498.840454
7308, 8244, 26.5, 1468260498.880432
7320, 8252, 26.5, 1468260498.920379
7320, 8272, 26.5, 1468260498.960784
7308, 8272, 26.5, 1468260499.000457
7316, 8256, 26.5, 1468260499.040649
7320, 8260, 24.6, 1468260499.089660
7324, 8268, 24.6, 1468260499.123199
7316, 8248, 24.6, 1468260499.160400
7304, 8248, 24.6, 1468260499.200927
7316, 8252, 24.6, 1468260499.240417
7320, 8264, 24.6, 1468260499.280487
7304, 8248, 24.6, 1468260499.320404
7312, 8256, 24.6, 1468260499.360351
7308, 8252, 24.6, 1468260499.400512
7296, 8252, 24.6, 1468260499.440582
7316, 8252, 24.6, 1468260499.480865
7324, 8252, 24.6, 1468260499.521057
7304, 8240, 24.6, 1468260499.560791
7312, 8248, 24.6, 1468260499.600402
7324, 8272, 24.6, 1468260499.640380
7304, 8252, 24.6, 1468260499.681396
7288, 8244, 24.6, 1468260499.720458
7288, 8232, 24.6, 1468260499.760345
