temperature, time
23.688, 1468260498.076782
23.688, 1468260499.076629
23.688, 1468260500.076660
23.625, 1468260501.245971
23.688, 1468260502.085205
23.688, 1468260503.084930
23.688, 1468260504.084564
23.688, 1468260505.084228
23.688, 1468260506.292724
23.688, 1468260507.068176
23.688, 1468260508.068328
23.750, 1468260509.068359
23.688, 1468260510.068420
23.750, 1468260511.334503
23.750, 1468260512.071411
23.688, 1468260513.070922
23.688, 1468260514.070800
23.750, 1468260515.070556
23.688, 1468260516.279876
23.750, 1468260517.068450
23.750, 1468260518.068298
23.812, 1468260519.068481
23.688, 1468260520.068450
23.750, 1468260521.134521
23.688, 1468260522.077819
23.750, 1468260523.077789
23.750, 1468260524.077758
23.750, 1468260525.078277
23.750, 1468260526.146575
23.750, 1468260527.083984
23.750, 1468260528.084594
23.750, 1468260529.084655
23.750, 1468260530.083648
23.750, 1468260531.274719
23.750, 1468260532.073577
23.750, 1468260533.074279
23.750, 1468260534.074371
23.750, 1468260535.073577
23.750, 1468260536.344116
23.750, 1468260537.086639
23.750, 1468260538.086975
23.688, 1468260539.087097
23.750, 1468260540.086395
23.750, 1468260541.356597
23.750, 1468260542.068359
23.750, 1468260543.068664
23.750, 1468260544.068359
23.750, 1468260545.068481
23.812, 1468260546.127563
23.750, 1468260547.071411
23.750, 1468260548.071624
23.750, 1468260549.071563
23.750, 1468260550.071929
23.750, 1468260551.120269
23.812, 1468260552.073638
23.750, 1468260553.071807
23.812, 1468260554.072326
23.812, 1468260555.072631
23.750, 1468260556.125579
23.750, 1468260557.072021
23.812, 1468260558.072143
23.812, 1468260559.071868
23.812, 1468260560.071350
23.750, 1468260561.119628
23.750, 1468260562.072357
23.812, 1468260563.072357
23.750, 1468260564.071899
23.812, 1468260565.071655
23.812, 1468260566.110809
23.750, 1468260567.072265
23.750, 1468260568.071380
23.812, 1468260569.072235
23.750, 1468260570.072540
23.812, 1468260571.224517
23.812, 1468260572.087310
23.750, 1468260573.088104
23.812, 1468260574.087829
23.750, 1468260575.087982
23.812, 1468260576.251281
23.750, 1468260577.079681
23.812, 1468260578.079284
23.812, 1468260579.079681
23.812, 1468260580.079833
23.812, 1468260581.214660
23.812, 1468260582.081512
23.812, 1468260583.081390
23.812, 1468260584.081268
23.812, 1468260585.084533
23.812, 1468260586.301666
23.750, 1468260587.093322
23.812, 1468260588.093902
23.812, 1468260589.092224
23.812, 1468260590.093811
23.812, 1468260591.149414
23.812, 1468260592.071105
23.812, 1468260593.070922
23.750, 1468260594.070953
23.812, 1468260595.070922
23.812, 1468260596.111938
23.750, 1468260597.071044
23.812, 1468260598.070861
23.750, 1468260599.071228
23.812, 1468260600.070861
23.812, 1468260601.092681
23.812, 1468260602.070861
23.812, 1468260603.070831
23.812, 1468260604.070922
23.812, 1468260605.070861
23.812, 1468260606.125885
23.812, 1468260607.073425
23.750, 1468260608.073303
23.812, 1468260609.073760
23.812, 1468260610.073150
23.750, 1468260611.126922
23.812, 1468260612.075042
23.812, 1468260613.075622
23.812, 1468260614.074584
23.812, 1468260615.076568
23.812, 1468260616.126434
23.812, 1468260617.074768
23.812, 1468260618.075653
23.812, 1468260619.074432
23.812, 1468260620.075714
23.812, 1468260621.128692
23.875, 1468260622.076995
23.812, 1468260623.077362
23.812, 1468260624.075103
23.812, 1468260625.076599
23.875, 1468260626.126525
23.875, 1468260627.077453
23.875, 1468260628.075683
23.812, 1468260629.077606
23.812, 1468260630.075622
23.812, 1468260631.128662
23.812, 1468260632.077514
23.812, 1468260633.075622
23.875, 1468260634.076354
23.875, 1468260635.077545
23.812, 1468260636.105834
23.875, 1468260637.076507
23.812, 1468260638.075744
23.875, 1468260639.077606
23.875, 1468260640.075775
23.875, 1468260641.140686
23.875, 1468260642.084259
23.875, 1468260643.088439
23.875, 1468260644.087707
23.875, 1468260645.088745
23.875, 1468260646.148712
23.875, 1468260647.070861
23.875, 1468260648.070892
23.875, 1468260649.070953
23.938, 1468260650.070983
23.875, 1468260651.133850
23.938, 1468260652.082305
23.938, 1468260653.082336
23.875, 1468260654.081970
23.875, 1468260655.082427
23.875, 1468260656.137969
23.938, 1468260657.082153
23.875, 1468260658.082061
23.875, 1468260659.082275
23.938, 1468260660.082000
23.938, 1468260661.138610
23.938, 1468260662.090148
23.875, 1468260663.090087
23.875, 1468260664.089935
23.875, 1468260665.088806
23.938, 1468260666.148895
23.938, 1468260667.070983
23.938, 1468260668.070953
23.875, 1468260669.071105
23.875, 1468260670.070861
23.938, 1468260671.097656
23.938, 1468260672.070953
23.875, 1468260673.071014
23.875, 1468260674.070983
23.875, 1468260675.070831
23.938, 1468260676.204437
23.875, 1468260677.075378
23.875, 1468260678.075469
23.875, 1468260679.075073
23.875, 1468260680.075347
23.938, 1468260681.218139
23.875, 1468260682.087005
23.875, 1468260683.084350
23.938, 1468260684.084564
23.875, 1468260685.083770
23.875, 1468260686.236328
23.938, 1468260687.079406
23.938, 1468260688.078674
23.938, 1468260689.078948
23.938, 1468260690.078308
23.875, 1468260691.179962
23.875, 1468260692.070922
23.875, 1468260693.070831
23.938, 1468260694.070861
23.938, 1468260695.070892
23.938, 1468260696.074096
23.938, 1468260697.070892
23.875, 1468260698.071044
23.938, 1468260699.070831
23.938, 1468260700.070831
23.938, 1468260701.096954
23.875, 1468260702.070831
23.938, 1468260703.070831
23.938, 1468260704.070861
23.875, 1468260705.070983
23.938, 1468260706.077087
23.938, 1468260707.070983
23.875, 1468260708.070831
23.938, 1468260709.070892
23.938, 1468260710.070800
23.938, 1468260711.213348
23.875, 1468260712.070892
23.875, 1468260713.070800
