volt, time
0.679, 1468260499.042938
0.650, 1468260499.045227
0.620, 1468260499.046936
0.615, 1468260499.048553
0.603, 1468260499.051361
0.608, 1468260499.055358
0.608, 1468260499.057800
0.632, 1468260499.060546
0.635, 1468260499.062683
0.610, 1468260499.064331
0.608, 1468260499.067718
0.601, 1468260499.070129
0.598, 1468260499.072479
0.623, 1468260499.077972
0.645, 1468260499.081207
0.650, 1468260499.086456
0.630, 1468260499.090728
0.652, 1468260499.093444
0.608, 1468260499.096038
0.610, 1468260499.098724
0.640, 1468260499.100433
0.620, 1468260499.102020
0.598, 1468260499.103546
0.601, 1468260499.105346
0.579, 1468260499.108734
0.615, 1468260499.111175
0.593, 1468260499.112976
0.632, 1468260499.117462
0.632, 1468260499.120147
0.606, 1468260499.124145
0.642, 1468260499.126098
0.625, 1468260499.127716
0.613, 1468260499.129730
0.581, 1468260499.132141
0.591, 1468260499.134490
0.630, 1468260499.137115
0.630, 1468260499.139801
0.613, 1468260499.141448
0.601, 1468260499.143005
0.598, 1468260499.144531
0.598, 1468260499.147430
0.588, 1468260499.149780
0.615, 1468260499.152465
0.642, 1468260499.157012
0.603, 1468260499.161376
0.647, 1468260499.163085
0.620, 1468260499.164672
0.608, 1468260499.166503
0.603, 1468260499.168090
0.593, 1468260499.169616
0.576, 1468260499.171905
0.603, 1468260499.174255
0.598, 1468260499.176757
0.630, 1468260499.180786
0.623, 1468260499.182434
0.606, 1468260499.184020
0.601, 1468260499.186981
0.620, 1468260499.189300
0.618, 1468260499.191589
0.623, 1468260499.195404
0.637, 1468260499.200500
0.657, 1468260499.203155
0.632, 1468260499.205047
0.615, 1468260499.206695
0.610, 1468260499.208251
0.591, 1468260499.210754
0.613, 1468260499.213043
0.603, 1468260499.215820
0.598, 1468260499.218475
0.630, 1468260499.220184
0.618, 1468260499.221771
0.603, 1468260499.223327
0.598, 1468260499.225097
0.576, 1468260499.227539
0.584, 1468260499.229858
0.586, 1468260499.232147
0.618, 1468260499.236450
0.640, 1468260499.241027
0.642, 1468260499.242767
0.625, 1468260499.244384
0.618, 1468260499.246337
0.601, 1468260499.247955
0.596, 1468260499.249481
0.591, 1468260499.251800
0.596, 1468260499.254150
0.584, 1468260499.256652
0.601, 1468260499.259399
0.625, 1468260499.261047
0.613, 1468260499.262603
0.593, 1468260499.264129
0.591, 1468260499.266815
0.586, 1468260499.269195
0.632, 1468260499.271545
0.628, 1468260499.274719
0.606, 1468260499.279693
0.652, 1468260499.282318
0.623, 1468260499.283996
0.630, 1468260499.292846
0.610, 1468260499.296173
0.610, 1468260499.297973
0.637, 1468260499.300689
0.615, 1468260499.304992
0.623, 1468260499.307769
0.603, 1468260499.310180
0.603, 1468260499.312500
0.588, 1468260499.316833
0.640, 1468260499.321075
0.642, 1468260499.322814
0.623, 1468260499.324401
0.608, 1468260499.326202
0.608, 1468260499.327789
0.598, 1468260499.329345
0.588, 1468260499.331634
0.603, 1468260499.333984
0.623, 1468260499.336578
0.591, 1468260499.339385
0.628, 1468260499.341033
